Commodity,date,Cash_Settlement,Three_month,LME_stock,Year,Month,Quarter
Aluminium,18-May-10,2005.5,2036,4511025,2010,May,Qtr2
Nickel,19-May-10,21055,21130,139332,2010,May,Qtr2
Copper,19-May-10,6465.5,6502,482225,2010,May,Qtr2
Aluminium,19-May-10,1969,1998,4549625,2010,May,Qtr2
Nickel,20-May-10,21050,21150,138888,2010,May,Qtr2
Copper,20-May-10,6500,6530,481300,2010,May,Qtr2
Aluminium,20-May-10,1947,1976,4588700,2010,May,Qtr2
Nickel,21-May-10,21200,21200,139518,2010,May,Qtr2
Copper,21-May-10,6639,6665,479825,2010,May,Qtr2
Aluminium,21-May-10,1991,2022,4583975,2010,May,Qtr2
Nickel,24-May-10,21595,21700,138576,2010,May,Qtr2
Copper,24-May-10,6770.5,6805,479575,2010,May,Qtr2
Aluminium,24-May-10,2009,2038,4578725,2010,May,Qtr2
Nickel,25-May-10,21145,21175,138444,2010,May,Qtr2
Copper,25-May-10,6685,6731,479325,2010,May,Qtr2
Aluminium,25-May-10,1980.5,2012,4573750,2010,May,Qtr2
Nickel,26-May-10,21460,21625,138648,2010,May,Qtr2
Copper,26-May-10,6836,6861,479050,2010,May,Qtr2
Aluminium,26-May-10,2010.5,2041.5,4570150,2010,May,Qtr2
Nickel,27-May-10,21600,21575,138786,2010,May,Qtr2
Copper,27-May-10,6875.5,6910,477775,2010,May,Qtr2
Aluminium,27-May-10,2003.5,2034.5,4566625,2010,May,Qtr2
Nickel,28-May-10,21555,21650,138504,2010,May,Qtr2
Copper,28-May-10,6926,6965,476725,2010,May,Qtr2
Aluminium,28-May-10,2037,2070.5,4561400,2010,May,Qtr2
Nickel,1-Jun-10,20505,20555,138396,2010,Jun,Qtr2
Copper,1-Jun-10,6715,6737,475575,2010,Jun,Qtr2
Aluminium,1-Jun-10,1953,1979,4556175,2010,Jun,Qtr2
Nickel,2-Jun-10,19880,19975,137436,2010,Jun,Qtr2
Copper,2-Jun-10,6605,6637,475225,2010,Jun,Qtr2
Aluminium,2-Jun-10,1954,1984.5,4548450,2010,Jun,Qtr2
Nickel,3-Jun-10,19205,19205,136848,2010,Jun,Qtr2
Copper,3-Jun-10,6620.5,6670,474300,2010,Jun,Qtr2
Aluminium,3-Jun-10,1951,1984,4541150,2010,Jun,Qtr2
Nickel,4-Jun-10,18300,18400,135942,2010,Jun,Qtr2
Copper,4-Jun-10,6450,6481,473000,2010,Jun,Qtr2
Aluminium,4-Jun-10,1915.5,1943,4532075,2010,Jun,Qtr2
Nickel,7-Jun-10,18050,18175,135402,2010,Jun,Qtr2
Copper,7-Jun-10,6157,6181.5,470750,2010,Jun,Qtr2
Aluminium,7-Jun-10,1828.5,1858,4525100,2010,Jun,Qtr2
Nickel,8-Jun-10,17955,18010,135486,2010,Jun,Qtr2
Copper,8-Jun-10,6091,6125,469850,2010,Jun,Qtr2
Aluminium,8-Jun-10,1850.5,1885,4517225,2010,Jun,Qtr2
Nickel,9-Jun-10,18780,18900,135168,2010,Jun,Qtr2
Copper,9-Jun-10,6295.5,6315.5,468175,2010,Jun,Qtr2
Aluminium,9-Jun-10,1911,1945,4510900,2010,Jun,Qtr2
Nickel,10-Jun-10,19105,19155,134646,2010,Jun,Qtr2
Copper,10-Jun-10,6292,6325,466400,2010,Jun,Qtr2
Aluminium,10-Jun-10,1907,1931,4503325,2010,Jun,Qtr2
Nickel,11-Jun-10,19300,19400,133794,2010,Jun,Qtr2
Copper,11-Jun-10,6462,6494,465000,2010,Jun,Qtr2
Aluminium,11-Jun-10,1932,1964,4496725,2010,Jun,Qtr2
Nickel,14-Jun-10,19730,19825,133320,2010,Jun,Qtr2
Copper,14-Jun-10,6610,6635,463175,2010,Jun,Qtr2
Aluminium,14-Jun-10,1945.5,1975,4486225,2010,Jun,Qtr2
Nickel,15-Jun-10,20105,20200,132162,2010,Jun,Qtr2
Copper,15-Jun-10,6625,6655,461525,2010,Jun,Qtr2
Aluminium,15-Jun-10,1965,1991,4495775,2010,Jun,Qtr2
Nickel,16-Jun-10,19555,19660,131712,2010,Jun,Qtr2
Copper,16-Jun-10,6592.5,6622,459150,2010,Jun,Qtr2
Aluminium,16-Jun-10,1967.5,2001,4487925,2010,Jun,Qtr2
Nickel,17-Jun-10,19685,19735,131052,2010,Jun,Qtr2
Copper,17-Jun-10,6480.5,6510,460175,2010,Jun,Qtr2
Aluminium,17-Jun-10,1950.5,1980.5,4481200,2010,Jun,Qtr2
Nickel,18-Jun-10,19305,19400,129798,2010,Jun,Qtr2
Copper,18-Jun-10,6315.5,6340,457425,2010,Jun,Qtr2
Aluminium,18-Jun-10,1931,1956,4474175,2010,Jun,Qtr2
Nickel,21-Jun-10,19935,20005,128784,2010,Jun,Qtr2
Copper,21-Jun-10,6607,6645,456950,2010,Jun,Qtr2
Aluminium,21-Jun-10,1968.5,1996,4467350,2010,Jun,Qtr2
Nickel,22-Jun-10,19400,19450,128178,2010,Jun,Qtr2
Copper,22-Jun-10,6460,6490,456850,2010,Jun,Qtr2
Aluminium,22-Jun-10,1901,1938,4457350,2010,Jun,Qtr2
Nickel,23-Jun-10,19430,19510,127422,2010,Jun,Qtr2
Copper,23-Jun-10,6576,6610,456425,2010,Jun,Qtr2
Aluminium,23-Jun-10,1922,1948,4463675,2010,Jun,Qtr2
Nickel,24-Jun-10,19250,19375,126618,2010,Jun,Qtr2
Copper,24-Jun-10,6525.5,6570,454700,2010,Jun,Qtr2
Aluminium,24-Jun-10,1908.5,1941,4453375,2010,Jun,Qtr2
Nickel,25-Jun-10,19500,19500,126312,2010,Jun,Qtr2
Copper,25-Jun-10,6604.5,6636,454250,2010,Jun,Qtr2
Aluminium,25-Jun-10,1946,1978,4446400,2010,Jun,Qtr2
Nickel,28-Jun-10,20210,20400,125508,2010,Jun,Qtr2
Copper,28-Jun-10,6800,6826,453175,2010,Jun,Qtr2
Aluminium,28-Jun-10,1996,2022,4440625,2010,Jun,Qtr2
Nickel,29-Jun-10,19935,20000,124362,2010,Jun,Qtr2
Copper,29-Jun-10,6585,6613.5,451950,2010,Jun,Qtr2
Aluminium,29-Jun-10,1962.5,1987,4433550,2010,Jun,Qtr2
Nickel,30-Jun-10,19430,19375,124026,2010,Jun,Qtr2
Copper,30-Jun-10,6515,6541.5,451100,2010,Jun,Qtr2
Aluminium,30-Jun-10,1924,1954,4428075,2010,Jun,Qtr2
Nickel,1-Jul-10,19150,19275,123768,2010,Jul,Qtr3
Copper,1-Jul-10,6354,6389,449425,2010,Jul,Qtr3
Aluminium,1-Jul-10,1928,1950,4422025,2010,Jul,Qtr3
Nickel,2-Jul-10,19115,19200,123420,2010,Jul,Qtr3
Copper,2-Jul-10,6430.5,6480,447300,2010,Jul,Qtr3
Aluminium,2-Jul-10,1933,1956,4416875,2010,Jul,Qtr3
Nickel,5-Jul-10,18775,18750,122514,2010,Jul,Qtr3
Copper,5-Jul-10,6440,6466,444500,2010,Jul,Qtr3
Aluminium,5-Jul-10,1912,1934,4410775,2010,Jul,Qtr3
Nickel,6-Jul-10,18855,18955,122172,2010,Jul,Qtr3
Copper,6-Jul-10,6523,6556,441700,2010,Jul,Qtr3
Aluminium,6-Jul-10,1946,1968,4404850,2010,Jul,Qtr3
Nickel,7-Jul-10,18990,19025,121716,2010,Jul,Qtr3
Copper,7-Jul-10,6545,6575,439350,2010,Jul,Qtr3
Aluminium,7-Jul-10,1954.5,1975,4409550,2010,Jul,Qtr3
Nickel,8-Jul-10,19325,19325,121326,2010,Jul,Qtr3
Copper,8-Jul-10,6641,6671,439000,2010,Jul,Qtr3
Aluminium,8-Jul-10,1977,1993,4403875,2010,Jul,Qtr3
Nickel,9-Jul-10,19130,19190,120660,2010,Jul,Qtr3
Copper,9-Jul-10,6680.5,6710,436900,2010,Jul,Qtr3
Aluminium,9-Jul-10,1970.5,1993,4398000,2010,Jul,Qtr3
Nickel,12-Jul-10,19210,19260,120240,2010,Jul,Qtr3
Copper,12-Jul-10,6630.5,6656,435250,2010,Jul,Qtr3
Aluminium,12-Jul-10,1967,1983,4389925,2010,Jul,Qtr3
Nickel,13-Jul-10,19300,19350,119964,2010,Jul,Qtr3
Copper,13-Jul-10,6596,6610,432550,2010,Jul,Qtr3
Aluminium,13-Jul-10,1948,1962.5,4383550,2010,Jul,Qtr3
Nickel,14-Jul-10,19515,19550,119796,2010,Jul,Qtr3
Copper,14-Jul-10,6694.5,6712.5,428500,2010,Jul,Qtr3
Aluminium,14-Jul-10,2003.5,2019,4375900,2010,Jul,Qtr3
Nickel,15-Jul-10,19315,19400,119562,2010,Jul,Qtr3
Copper,15-Jul-10,6656,6679,427725,2010,Jul,Qtr3
Aluminium,15-Jul-10,1991,2011,4381725,2010,Jul,Qtr3
Nickel,16-Jul-10,19220,19270,119070,2010,Jul,Qtr3
Copper,16-Jul-10,6650,6669,426425,2010,Jul,Qtr3
Aluminium,16-Jul-10,2008.5,2025,4375150,2010,Jul,Qtr3
Nickel,19-Jul-10,18735,18850,118536,2010,Jul,Qtr3
Copper,19-Jul-10,6514,6512,422850,2010,Jul,Qtr3
Aluminium,19-Jul-10,1947,1972,4368825,2010,Jul,Qtr3
Nickel,20-Jul-10,18810,18865,118206,2010,Jul,Qtr3
Copper,20-Jul-10,6526,6548,419600,2010,Jul,Qtr3
Aluminium,20-Jul-10,1930.5,1952,4417100,2010,Jul,Qtr3
Nickel,21-Jul-10,19215,19325,117762,2010,Jul,Qtr3
Copper,21-Jul-10,6771,6791,417625,2010,Jul,Qtr3
Aluminium,21-Jul-10,1975.5,1995,4420025,2010,Jul,Qtr3
Nickel,22-Jul-10,19825,19875,117210,2010,Jul,Qtr3
Copper,22-Jul-10,6920.5,6942,416525,2010,Jul,Qtr3
Aluminium,22-Jul-10,2006.5,2025,4415950,2010,Jul,Qtr3
Nickel,23-Jul-10,20380,20500,116814,2010,Jul,Qtr3
Copper,23-Jul-10,6995,7021,419650,2010,Jul,Qtr3
Aluminium,23-Jul-10,2008.5,2024,4409975,2010,Jul,Qtr3
Nickel,26-Jul-10,20415,20515,116262,2010,Jul,Qtr3
Copper,26-Jul-10,6995.5,7027,416275,2010,Jul,Qtr3
Aluminium,26-Jul-10,2021,2040.5,4404650,2010,Jul,Qtr3
Nickel,27-Jul-10,20725,20800,115950,2010,Jul,Qtr3
Copper,27-Jul-10,7091.5,7121,413800,2010,Jul,Qtr3
Aluminium,27-Jul-10,2045,2063,4399775,2010,Jul,Qtr3
Nickel,28-Jul-10,20435,20475,116334,2010,Jul,Qtr3
Copper,28-Jul-10,7120,7145.5,411425,2010,Jul,Qtr3
Aluminium,28-Jul-10,2059,2077,4395125,2010,Jul,Qtr3
Nickel,29-Jul-10,20385,20550,116778,2010,Jul,Qtr3
Copper,29-Jul-10,7206,7234,411525,2010,Jul,Qtr3
Aluminium,29-Jul-10,2083,2098,4390625,2010,Jul,Qtr3
Nickel,30-Jul-10,20560,20640,117498,2010,Jul,Qtr3
Copper,30-Jul-10,7195,7217.5,413500,2010,Jul,Qtr3
Aluminium,30-Jul-10,2127,2138,4385300,2010,Jul,Qtr3
Nickel,2-Aug-10,21420,21550,118380,2010,Aug,Qtr3
Copper,2-Aug-10,7336,7367,413075,2010,Aug,Qtr3
Aluminium,2-Aug-10,2184.5,2191.5,4381100,2010,Aug,Qtr3
Nickel,3-Aug-10,21505,21675,118158,2010,Aug,Qtr3
Copper,3-Aug-10,7360,7380,414075,2010,Aug,Qtr3
Aluminium,3-Aug-10,2200,2206,4403750,2010,Aug,Qtr3
Nickel,4-Aug-10,21520,21600,117870,2010,Aug,Qtr3
Copper,4-Aug-10,7370.5,7402,413950,2010,Aug,Qtr3
Aluminium,4-Aug-10,2201,2210.5,4404975,2010,Aug,Qtr3
Nickel,5-Aug-10,21985,22055,117780,2010,Aug,Qtr3
Copper,5-Aug-10,7395,7421,413075,2010,Aug,Qtr3
Aluminium,5-Aug-10,2212.5,2222,4400500,2010,Aug,Qtr3
Nickel,6-Aug-10,22085,22165,117336,2010,Aug,Qtr3
Copper,6-Aug-10,7420,7440,412625,2010,Aug,Qtr3
Aluminium,6-Aug-10,2217,2217.5,4397675,2010,Aug,Qtr3
Nickel,9-Aug-10,22565,22605,116274,2010,Aug,Qtr3
Copper,9-Aug-10,7425,7460,410475,2010,Aug,Qtr3
Aluminium,9-Aug-10,2201,2206,4391650,2010,Aug,Qtr3
Nickel,10-Aug-10,22055,22200,116034,2010,Aug,Qtr3
Copper,10-Aug-10,7225,7252,408375,2010,Aug,Qtr3
Aluminium,10-Aug-10,2145,2155,4386475,2010,Aug,Qtr3
Nickel,11-Aug-10,21775,21850,116298,2010,Aug,Qtr3
Copper,11-Aug-10,7204,7227,406325,2010,Aug,Qtr3
Aluminium,11-Aug-10,2151,2158,4388375,2010,Aug,Qtr3
Nickel,12-Aug-10,21030,21110,116694,2010,Aug,Qtr3
Copper,12-Aug-10,7180,7199,409075,2010,Aug,Qtr3
Aluminium,12-Aug-10,2131.5,2138,4384250,2010,Aug,Qtr3
Nickel,13-Aug-10,21475,21525,117000,2010,Aug,Qtr3
Copper,13-Aug-10,7200,7220,408550,2010,Aug,Qtr3
Aluminium,13-Aug-10,2143,2149,4382400,2010,Aug,Qtr3
Nickel,16-Aug-10,21400,21525,117012,2010,Aug,Qtr3
Copper,16-Aug-10,7205,7220,406700,2010,Aug,Qtr3
Aluminium,16-Aug-10,2121,2119,4377975,2010,Aug,Qtr3
Nickel,17-Aug-10,21850,22025,116592,2010,Aug,Qtr3
Copper,17-Aug-10,7315.5,7350,405025,2010,Aug,Qtr3
Aluminium,17-Aug-10,2135,2147.5,4448800,2010,Aug,Qtr3
Nickel,18-Aug-10,21875,21975,115968,2010,Aug,Qtr3
Copper,18-Aug-10,7353.5,7375,403300,2010,Aug,Qtr3
Aluminium,18-Aug-10,2146,2135,4469775,2010,Aug,Qtr3
Nickel,19-Aug-10,22200,22275,115668,2010,Aug,Qtr3
Copper,19-Aug-10,7442,7461.5,403525,2010,Aug,Qtr3
Aluminium,19-Aug-10,2094,2103,4464675,2010,Aug,Qtr3
Nickel,20-Aug-10,21325,21400,116388,2010,Aug,Qtr3
Copper,20-Aug-10,7205.5,7219.5,401725,2010,Aug,Qtr3
Aluminium,20-Aug-10,2045,2026,4464825,2010,Aug,Qtr3
Nickel,23-Aug-10,21220,21325,116556,2010,Aug,Qtr3
Copper,23-Aug-10,7250,7250,402200,2010,Aug,Qtr3
Aluminium,23-Aug-10,2059,2055,4460150,2010,Aug,Qtr3
Nickel,24-Aug-10,20710,20755,117510,2010,Aug,Qtr3
Copper,24-Aug-10,7171,7197,403825,2010,Aug,Qtr3
Aluminium,24-Aug-10,2038.5,2032,4456375,2010,Aug,Qtr3
Nickel,25-Aug-10,20145,20130,118302,2010,Aug,Qtr3
Copper,25-Aug-10,7067,7095,402425,2010,Aug,Qtr3
Aluminium,25-Aug-10,2016,2013,4452700,2010,Aug,Qtr3
Nickel,26-Aug-10,20275,20305,118956,2010,Aug,Qtr3
Copper,26-Aug-10,7195.5,7225,401250,2010,Aug,Qtr3
Aluminium,26-Aug-10,1998.5,2006,4448800,2010,Aug,Qtr3
Nickel,27-Aug-10,20555,20605,118860,2010,Aug,Qtr3
Copper,27-Aug-10,7287,7301,400100,2010,Aug,Qtr3
Aluminium,27-Aug-10,1996.5,2014,4445600,2010,Aug,Qtr3
Nickel,31-Aug-10,20710,20795,118662,2010,Aug,Qtr3
Copper,31-Aug-10,7355.5,7360.5,398525,2010,Aug,Qtr3
Aluminium,31-Aug-10,2045,2050,4442475,2010,Aug,Qtr3
Nickel,1-Sep-10,21045,21110,120090,2010,Sep,Qtr3
Copper,1-Sep-10,7540.5,7545,398775,2010,Sep,Qtr3
Aluminium,1-Sep-10,2059,2074,4435475,2010,Sep,Qtr3
Nickel,2-Sep-10,21455,21480,120510,2010,Sep,Qtr3
Copper,2-Sep-10,7625.5,7640.5,399475,2010,Sep,Qtr3
Aluminium,2-Sep-10,2105,2122,4432200,2010,Sep,Qtr3
Nickel,3-Sep-10,21875,21885,120354,2010,Sep,Qtr3
Copper,3-Sep-10,7631.5,7646,397675,2010,Sep,Qtr3
Aluminium,3-Sep-10,2128.5,2155,4426825,2010,Sep,Qtr3
Nickel,6-Sep-10,21910,22000,119886,2010,Sep,Qtr3
Copper,6-Sep-10,7660.5,7675,396875,2010,Sep,Qtr3
Aluminium,6-Sep-10,2148.5,2179,4421650,2010,Sep,Qtr3
Nickel,7-Sep-10,21635,21700,119490,2010,Sep,Qtr3
Copper,7-Sep-10,7520,7524,395475,2010,Sep,Qtr3
Aluminium,7-Sep-10,2110,2138,4417075,2010,Sep,Qtr3
Nickel,8-Sep-10,22450,22400,119280,2010,Sep,Qtr3
Copper,8-Sep-10,7620,7635,394500,2010,Sep,Qtr3
Aluminium,8-Sep-10,2120.5,2150,4415950,2010,Sep,Qtr3
Nickel,9-Sep-10,22580,22650,118956,2010,Sep,Qtr3
Copper,9-Sep-10,7532,7561,393375,2010,Sep,Qtr3
Aluminium,9-Sep-10,2082.5,2111,4410800,2010,Sep,Qtr3
Nickel,10-Sep-10,22825,22855,119160,2010,Sep,Qtr3
Copper,10-Sep-10,7525,7545,391400,2010,Sep,Qtr3
Aluminium,10-Sep-10,2083.5,2113.5,4405700,2010,Sep,Qtr3
Nickel,13-Sep-10,23080,23075,118818,2010,Sep,Qtr3
Copper,13-Sep-10,7630,7631,390450,2010,Sep,Qtr3
Aluminium,13-Sep-10,2108,2147,4400575,2010,Sep,Qtr3
Nickel,14-Sep-10,22840,22875,119034,2010,Sep,Qtr3
Copper,14-Sep-10,7517,7541,390525,2010,Sep,Qtr3
Aluminium,14-Sep-10,2101.5,2135,4401525,2010,Sep,Qtr3
Nickel,15-Sep-10,23180,23175,119856,2010,Sep,Qtr3
Copper,15-Sep-10,7595,7610.5,389500,2010,Sep,Qtr3
Aluminium,15-Sep-10,2117.5,2151,4402150,2010,Sep,Qtr3
Nickel,16-Sep-10,23255,23300,119760,2010,Sep,Qtr3
Copper,16-Sep-10,7670,7685,387150,2010,Sep,Qtr3
Aluminium,16-Sep-10,2132,2167.5,4397400,2010,Sep,Qtr3
Nickel,17-Sep-10,23425,23425,119412,2010,Sep,Qtr3
Copper,17-Sep-10,7756,7770,384200,2010,Sep,Qtr3
Aluminium,17-Sep-10,2156,2190,4393425,2010,Sep,Qtr3
Nickel,20-Sep-10,23345,23375,119244,2010,Sep,Qtr3
Copper,20-Sep-10,7735.5,7752,382500,2010,Sep,Qtr3
Aluminium,20-Sep-10,2174,2209,4388375,2010,Sep,Qtr3
Nickel,21-Sep-10,22810,22850,118878,2010,Sep,Qtr3
Copper,21-Sep-10,7695,7696,380025,2010,Sep,Qtr3
Aluminium,21-Sep-10,2167,2198,4384425,2010,Sep,Qtr3
Nickel,22-Sep-10,22300,22300,119592,2010,Sep,Qtr3
Copper,22-Sep-10,7705.5,7710,382100,2010,Sep,Qtr3
Aluminium,22-Sep-10,2158.5,2190,4378775,2010,Sep,Qtr3
Nickel,23-Sep-10,22670,22700,120060,2010,Sep,Qtr3
Copper,23-Sep-10,7876.5,7885,380125,2010,Sep,Qtr3
Aluminium,23-Sep-10,2233.5,2266.5,4374375,2010,Sep,Qtr3
Nickel,24-Sep-10,22900,22925,120594,2010,Sep,Qtr3
Copper,24-Sep-10,7911,7905.5,380225,2010,Sep,Qtr3
Aluminium,24-Sep-10,2272,2306,4369550,2010,Sep,Qtr3
Nickel,27-Sep-10,23175,23155,121032,2010,Sep,Qtr3
Copper,27-Sep-10,7922,7940,378125,2010,Sep,Qtr3
Aluminium,27-Sep-10,2281.5,2316,4365150,2010,Sep,Qtr3
Nickel,28-Sep-10,22810,22895,122208,2010,Sep,Qtr3
Copper,28-Sep-10,7866,7861,375275,2010,Sep,Qtr3
Aluminium,28-Sep-10,2225,2269,4362150,2010,Sep,Qtr3
Nickel,29-Sep-10,23200,23175,122658,2010,Sep,Qtr3
Copper,29-Sep-10,8016.5,8030,375100,2010,Sep,Qtr3
Aluminium,29-Sep-10,2293.5,2329,4358800,2010,Sep,Qtr3
Nickel,30-Sep-10,23390,23325,122556,2010,Sep,Qtr3
Copper,30-Sep-10,8053.5,8055,374150,2010,Sep,Qtr3
Aluminium,30-Sep-10,2314,2348,4355650,2010,Sep,Qtr3
Nickel,1-Oct-10,23775,23825,123594,2010,Oct,Qtr4
Copper,1-Oct-10,8115,8132,373800,2010,Oct,Qtr4
Aluminium,1-Oct-10,2345,2374,4352000,2010,Oct,Qtr4
Nickel,4-Oct-10,23835,23895,123540,2010,Oct,Qtr4
Copper,4-Oct-10,8085.5,8120,374450,2010,Oct,Qtr4
Aluminium,4-Oct-10,2332,2354,4348850,2010,Oct,Qtr4
Nickel,5-Oct-10,24260,24285,123270,2010,Oct,Qtr4
Copper,5-Oct-10,8125,8140,374100,2010,Oct,Qtr4
Aluminium,5-Oct-10,2335,2367,4344500,2010,Oct,Qtr4
Nickel,6-Oct-10,24875,24880,123132,2010,Oct,Qtr4
Copper,6-Oct-10,8215.5,8239,374125,2010,Oct,Qtr4
Aluminium,6-Oct-10,2335,2370,4340675,2010,Oct,Qtr4
Nickel,7-Oct-10,24730,24730,122994,2010,Oct,Qtr4
Copper,7-Oct-10,8262,8286,373450,2010,Oct,Qtr4
Aluminium,7-Oct-10,2343,2376,4336675,2010,Oct,Qtr4
Nickel,8-Oct-10,23705,23755,123222,2010,Oct,Qtr4
Copper,8-Oct-10,8104.5,8115,372000,2010,Oct,Qtr4
Aluminium,8-Oct-10,2321,2349.5,4331600,2010,Oct,Qtr4
Nickel,11-Oct-10,24470,24505,123474,2010,Oct,Qtr4
Copper,11-Oct-10,8335.5,8326,372475,2010,Oct,Qtr4
Aluminium,11-Oct-10,2391,2424.5,4327575,2010,Oct,Qtr4
Nickel,12-Oct-10,24150,24105,123714,2010,Oct,Qtr4
Copper,12-Oct-10,8266,8271,371750,2010,Oct,Qtr4
Aluminium,12-Oct-10,2385.5,2418,4323750,2010,Oct,Qtr4
Nickel,13-Oct-10,24110,24210,124140,2010,Oct,Qtr4
Copper,13-Oct-10,8400,8410.5,371275,2010,Oct,Qtr4
Aluminium,13-Oct-10,2390,2425,4322250,2010,Oct,Qtr4
Nickel,14-Oct-10,24355,24500,124176,2010,Oct,Qtr4
Copper,14-Oct-10,8412,8415.5,371500,2010,Oct,Qtr4
Aluminium,14-Oct-10,2402,2434,4318100,2010,Oct,Qtr4
Nickel,15-Oct-10,24250,24295,124056,2010,Oct,Qtr4
Copper,15-Oct-10,8362.5,8371,371025,2010,Oct,Qtr4
Aluminium,15-Oct-10,2368,2404,4313975,2010,Oct,Qtr4
Nickel,18-Oct-10,23670,23750,123822,2010,Oct,Qtr4
Copper,18-Oct-10,8340.5,8344.5,370450,2010,Oct,Qtr4
Aluminium,18-Oct-10,2348.5,2380,4312375,2010,Oct,Qtr4
Nickel,19-Oct-10,23505,23600,124104,2010,Oct,Qtr4
Copper,19-Oct-10,8295,8315,369950,2010,Oct,Qtr4
Aluminium,19-Oct-10,2356.5,2386.5,4316325,2010,Oct,Qtr4
Nickel,20-Oct-10,23475,23500,124572,2010,Oct,Qtr4
Copper,20-Oct-10,8250,8272,370750,2010,Oct,Qtr4
Aluminium,20-Oct-10,2325,2356.5,4329825,2010,Oct,Qtr4
Nickel,21-Oct-10,23715,23800,124836,2010,Oct,Qtr4
Copper,21-Oct-10,8406,8424,370000,2010,Oct,Qtr4
Aluminium,21-Oct-10,2348,2380.5,4325125,2010,Oct,Qtr4
Nickel,22-Oct-10,23405,23450,125670,2010,Oct,Qtr4
Copper,22-Oct-10,8309.5,8325,368825,2010,Oct,Qtr4
Aluminium,22-Oct-10,2326.5,2364,4320950,2010,Oct,Qtr4
Nickel,25-Oct-10,23755,23800,126768,2010,Oct,Qtr4
Copper,25-Oct-10,8501,8502,368375,2010,Oct,Qtr4
Aluminium,25-Oct-10,2362,2392.5,4319275,2010,Oct,Qtr4
Nickel,26-Oct-10,23185,23300,127254,2010,Oct,Qtr4
Copper,26-Oct-10,8466,8474.5,367475,2010,Oct,Qtr4
Aluminium,26-Oct-10,2332,2362,4315075,2010,Oct,Qtr4
Nickel,27-Oct-10,22950,22950,126972,2010,Oct,Qtr4
Copper,27-Oct-10,8332,8345,368600,2010,Oct,Qtr4
Aluminium,27-Oct-10,2322,2355.5,4310975,2010,Oct,Qtr4
Nickel,28-Oct-10,23080,23105,128262,2010,Oct,Qtr4
Copper,28-Oct-10,8332,8340,368025,2010,Oct,Qtr4
Aluminium,28-Oct-10,2308,2338,4307375,2010,Oct,Qtr4
Nickel,29-Oct-10,22700,22895,128160,2010,Oct,Qtr4
Copper,29-Oct-10,8225,8220,368500,2010,Oct,Qtr4
Aluminium,29-Oct-10,2302,2330,4306350,2010,Oct,Qtr4
Nickel,1-Nov-10,23260,23375,129144,2010,Nov,Qtr4
Copper,1-Nov-10,8339,8335,367575,2010,Nov,Qtr4
Aluminium,1-Nov-10,2369,2398,4303075,2010,Nov,Qtr4
Nickel,2-Nov-10,23315,23525,128802,2010,Nov,Qtr4
Copper,2-Nov-10,8396,8419,366950,2010,Nov,Qtr4
Aluminium,2-Nov-10,2386,2412.5,4297675,2010,Nov,Qtr4
Nickel,3-Nov-10,23625,23710,128730,2010,Nov,Qtr4
Copper,3-Nov-10,8400.5,8405,366075,2010,Nov,Qtr4
Aluminium,3-Nov-10,2401.5,2434.5,4299075,2010,Nov,Qtr4
Nickel,4-Nov-10,23970,24125,129126,2010,Nov,Qtr4
Copper,4-Nov-10,8521.5,8539,367325,2010,Nov,Qtr4
Aluminium,4-Nov-10,2441,2470,4294625,2010,Nov,Qtr4
Nickel,5-Nov-10,24450,24525,129102,2010,Nov,Qtr4
Copper,5-Nov-10,8700,8710.5,366350,2010,Nov,Qtr4
Aluminium,5-Nov-10,2438,2470,4284275,2010,Nov,Qtr4
Nickel,8-Nov-10,24205,24250,129216,2010,Nov,Qtr4
Copper,8-Nov-10,8672,8680,365200,2010,Nov,Qtr4
Aluminium,8-Nov-10,2415,2438,4281450,2010,Nov,Qtr4
Nickel,9-Nov-10,24350,24375,129678,2010,Nov,Qtr4
Copper,9-Nov-10,8844.5,8835,364875,2010,Nov,Qtr4
Aluminium,9-Nov-10,2426,2452.5,4270975,2010,Nov,Qtr4
Nickel,10-Nov-10,24350,24500,129834,2010,Nov,Qtr4
Copper,10-Nov-10,8729,8720,363950,2010,Nov,Qtr4
Aluminium,10-Nov-10,2430.5,2458.5,4262400,2010,Nov,Qtr4
Nickel,11-Nov-10,24200,24275,130116,2010,Nov,Qtr4
Copper,11-Nov-10,8925,8925,362950,2010,Nov,Qtr4
Aluminium,11-Nov-10,2446,2473,4255175,2010,Nov,Qtr4
Nickel,12-Nov-10,23625,23700,130356,2010,Nov,Qtr4
Copper,12-Nov-10,8715,8681.5,362775,2010,Nov,Qtr4
Aluminium,12-Nov-10,2434,2457,4252550,2010,Nov,Qtr4
Nickel,15-Nov-10,22525,22600,130422,2010,Nov,Qtr4
Copper,15-Nov-10,8590,8565,362700,2010,Nov,Qtr4
Aluminium,15-Nov-10,2350,2370.5,4252125,2010,Nov,Qtr4
Nickel,16-Nov-10,22195,22230,130686,2010,Nov,Qtr4
Copper,16-Nov-10,8483.5,8470,361975,2010,Nov,Qtr4
Aluminium,16-Nov-10,2329.5,2357,4299125,2010,Nov,Qtr4
Nickel,17-Nov-10,21475,21510,130146,2010,Nov,Qtr4
Copper,17-Nov-10,8145,8110,361125,2010,Nov,Qtr4
Aluminium,17-Nov-10,2225,2257,4305900,2010,Nov,Qtr4
Nickel,18-Nov-10,21500,21550,130110,2010,Nov,Qtr4
Copper,18-Nov-10,8386,8360,360600,2010,Nov,Qtr4
